Year,Conference,Schs,OverallW,OverallL,OverallT,OverallPct,BowlW,BowlL,BowlT,BowlPct,SRS,SOS,AP,Champion
2020,Big Ten Conference,14,53,52,0,0.505,3,2,,0.6,4.32,4.51,4,Ohio State
2019,Big Ten Conference,14,102,77,0,0.57,4,5,0,0.444,7.2,4.51,6,Ohio State
2018,Big Ten Conference,14,97,82,0,0.542,5,4,0,0.556,6.16,4.42,5,Ohio State
2017,Big Ten Conference,14,103,75,0,0.579,7,1,0,0.875,9.26,6.74,5,Ohio State
2016,Big Ten Conference,14,99,81,0,0.55,3,7,0,0.3,5.13,3.6,4,Penn State
2015,Big Ten Conference,14,105,75,0,0.583,5,5,0,0.5,6.34,4.02,6,Michigan State
2014,Big Ten Conference,14,105,76,0,0.58,6,5,0,0.545,4.52,2.29,3,Ohio State
2013,Big Ten Conference,12,88,65,0,0.575,2,5,0,0.286,5.05,2.22,3,Michigan State
2012,Big Ten Conference,12,85,68,0,0.556,2,5,0,0.286,3.74,1.82,4,Wisconsin
2011,Big Ten Conference,12,88,68,0,0.564,4,6,0,0.4,4.42,1.85,4,Wisconsin
